package_id,category,subtype,question,predicted_answer,correct_answer,direction,signed_error,absolute_error,absolute_percentage_error,diagnostic
Model02_01_Hidden,Transmission ratio,Other train or gearbox ratio,what is the transmission ratio of the gear train?,12,16,Under,-4.0,4.0,25.0,The transmission ratio was underestimated by 4 (25.0% of the correct value).
Model03_01_Hidden,Transmission ratio,Planetary ratio,"what is the transmission ratio of this planetary gear train? Assume the sun gear is the input, ring gear is fixed. And carrier is the output.",3,6,Under,-3.0,3.0,50.0,The transmission ratio was underestimated by 3 (50.0% of the correct value).
Model03_02_Hidden,Gear tooth count,Ring gear teeth,What is the tooth number of the ring gear?,72,80,Under,-8.0,8.0,10.0,The tooth count was underestimated by 8 (10.0% of the correct value).
Model03_03_Hidden,Gear tooth count,Sun gear teeth,What is tooth number of the sun gear?,12,20,Under,-8.0,8.0,40.0,The tooth count was underestimated by 8 (40.0% of the correct value).
Model04_01_Hidden,Transmission ratio,Planetary ratio,"what is the transmission ratio of this planetary gear? Assume sun input, ring fixed, carrier output. Round up to the nearest integer.",4,5,Under,-1.0,1.0,20.0,The transmission ratio was underestimated by 1 (20.0% of the correct value).
Model04_02_Hidden,Gear tooth count,Ring gear teeth,What is the tooth number of the ring gear?,48,65,Under,-17.0,17.0,26.153846153846153,The tooth count was underestimated by 17 (26.2% of the correct value).
Model04_03_Hidden,Gear tooth count,Sun gear teeth,What is tooth number of the sun gear?,24,16,Over,8.0,8.0,50.0,The tooth count was overestimated by 8 (50.0% of the correct value).
Model04_04_Hidden,Gear tooth count,Planet gear teeth,What is the tooth number of planet gear?,24,34,Under,-10.0,10.0,29.41176470588235,The tooth count was underestimated by 10 (29.4% of the correct value).
Model06_01_Hidden,Component count,Assembly inventory count,How many bearings are there is in this gearbox?,4,2,Over,2.0,2.0,100.0,The component count was overestimated by 2 (100.0% of the correct value).
Model06_02_Hidden,Gear tooth count,Smaller gear teeth,What the tooth number of the smaller gear?,12,25,Under,-13.0,13.0,52.0,The tooth count was underestimated by 13 (52.0% of the correct value).
Model06_03_Hidden,Gear tooth count,Larger gear teeth,What is the tooth number of the larger gear?,30,50,Under,-20.0,20.0,40.0,The tooth count was underestimated by 20 (40.0% of the correct value).
Model06_04_Hidden,Transmission ratio,Other train or gearbox ratio,What is the transmission ratio of this gear box?,3,2,Over,1.0,1.0,50.0,The transmission ratio was overestimated by 1 (50.0% of the correct value).
Model07_01_Hidden,Component count,Assembly inventory count,How many gears are there in this gear box?,3,4,Under,-1.0,1.0,25.0,The component count was underestimated by 1 (25.0% of the correct value).
Model08_01_Hidden,Gear tooth count,Smaller gear teeth,what the tooth number of the smaller gear?,12,29,Under,-17.0,17.0,58.62068965517241,The tooth count was underestimated by 17 (58.6% of the correct value).
Model08_02_Hidden,Gear tooth count,Larger gear teeth,what the tooth number of the larger gear?,60,105,Under,-45.0,45.0,42.857142857142854,The tooth count was underestimated by 45 (42.9% of the correct value).
Model08_03_Hidden,Transmission ratio,Other train or gearbox ratio,What the transmission ratio of this gear box? Round to the first decimal place.,5.0,3.6,Over,1.4,1.4,38.888888888888886,The transmission ratio was overestimated by 1.4 (38.9% of the correct value).
Model09_01_Hidden,Gear tooth count,Sun gear teeth,What is the tooth number of the sun gear?,24,17,Over,7.0,7.0,41.1764705882353,The tooth count was overestimated by 7 (41.2% of the correct value).
Model09_02_Hidden,Transmission ratio,Other train or gearbox ratio,What is the transmission ratio of the gear box? Round to the first decimal place.,3.0,5.4,Under,-2.4000000000000004,2.4000000000000004,44.44444444444445,The transmission ratio was underestimated by 2.4 (44.4% of the correct value).
Model09_03_Hidden,Gear tooth count,Ring gear teeth,What is the tooth number of the ring gear?,48,75,Under,-27.0,27.0,36.0,The tooth count was underestimated by 27 (36.0% of the correct value).
Model10_01_Hidden,Transmission ratio,Other train or gearbox ratio,what is the transmission ratio of this gear train?,1,32,Under,-31.0,31.0,96.875,The transmission ratio was underestimated by 31 (96.9% of the correct value).
