model_id,task_id,question_type,correct_replicates,replicate_accuracy_pct,classification,answers,expected_answer
qwen3.7-plus,Model01_QA01,transmission_ratio,0,0.0,unanimous_incorrect,"[20, 20, 20]",30
qwen3.7-plus,Model01_QA02,axis_angle,3,100.0,unanimous_correct,"[90, 90, 90]",90
qwen3.7-plus,Model02_QA01,transmission_ratio,0,0.0,unanimous_incorrect,"[3, 4, 4]",16
qwen3.7-plus,Model02_QA02,component_count,1,33.333333333333336,mixed,"[3, 3, 6]",6
qwen3.7-plus,Model02_QA03,component_count,0,0.0,unanimous_incorrect,"[12, 9, 12]",5
qwen3.7-plus,Model03_QA01,transmission_ratio,2,66.66666666666667,mixed,"[6, 5, 6]",6
qwen3.7-plus,Model03_QA02,tooth_count,1,33.333333333333336,mixed,"[48, null, 80]",80
qwen3.7-plus,Model03_QA03,tooth_count,0,0.0,unanimous_incorrect,"[12, 12, 18]",20
qwen3.7-plus,Model03_QA04,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
qwen3.7-plus,Model04_QA01,transmission_ratio,2,66.66666666666667,mixed,"[4, 5, 5]",5
qwen3.7-plus,Model04_QA02,tooth_count,0,0.0,unanimous_incorrect,"[48, 36, 60]",65
qwen3.7-plus,Model04_QA03,tooth_count,0,0.0,unanimous_incorrect,"[9, 9, 12]",16
qwen3.7-plus,Model04_QA04,tooth_count,0,0.0,unanimous_incorrect,"[18, 18, 16]",34
qwen3.7-plus,Model04_QA05,component_count,3,100.0,unanimous_correct,"[3, 3, 3]",3
qwen3.7-plus,Model05_QA01,tooth_count,0,0.0,unanimous_incorrect,"[null, 12, 12]",20
qwen3.7-plus,Model05_QA02,tooth_count,0,0.0,unanimous_incorrect,"[48, 48, 60]",93
qwen3.7-plus,Model05_QA03,transmission_ratio,0,0.0,unanimous_incorrect,"[3, 3, 4]",4.65
qwen3.7-plus,Model06_QA01,component_count,0,0.0,unanimous_incorrect,"[4, 4, 4]",2
qwen3.7-plus,Model06_QA02,tooth_count,0,0.0,unanimous_incorrect,"[12, 12, 12]",25
qwen3.7-plus,Model06_QA03,tooth_count,0,0.0,unanimous_incorrect,"[30, 18, 30]",50
qwen3.7-plus,Model06_QA04,transmission_ratio,3,100.0,unanimous_correct,"[2, 2, 2]",2
qwen3.7-plus,Model07_QA01,component_count,1,33.333333333333336,mixed,"[3, 3, 4]",4
qwen3.7-plus,Model07_QA02,component_count,0,0.0,unanimous_incorrect,"[2, 2, 2]",3
qwen3.7-plus,Model07_QA03,transmission_ratio,0,0.0,unanimous_incorrect,"[2, 2, 4]",12
qwen3.7-plus,Model08_QA01,tooth_count,0,0.0,unanimous_incorrect,"[10, 12, null]",29
qwen3.7-plus,Model08_QA02,tooth_count,0,0.0,unanimous_incorrect,"[20, 12, 20]",105
qwen3.7-plus,Model08_QA03,transmission_ratio,0,0.0,unanimous_incorrect,"[3.0, 20.0, null]",3.6
qwen3.7-plus,Model08_QA04,gear_type,0,0.0,unanimous_incorrect,"[""Spur"", ""Spur"", ""Spur""]",Helical
qwen3.7-plus,Model09_QA01,tooth_count,0,0.0,unanimous_incorrect,"[12, 10, 12]",17
qwen3.7-plus,Model09_QA02,transmission_ratio,0,0.0,unanimous_incorrect,"[5.0, 6.0, 5.0]",5.4
qwen3.7-plus,Model09_QA03,tooth_count,0,0.0,unanimous_incorrect,"[72, 36, null]",75
qwen3.7-plus,Model09_QA04,component_count,3,100.0,unanimous_correct,"[4, 4, 4]",4
qwen3.7-plus,Model10_QA01,transmission_ratio,0,0.0,unanimous_incorrect,"[40, 30, 30]",32
claude-opus-5,Model01_QA01,transmission_ratio,3,100.0,unanimous_correct,"[30, 30, 30]",30
claude-opus-5,Model01_QA02,axis_angle,3,100.0,unanimous_correct,"[90, 90, 90]",90
claude-opus-5,Model02_QA01,transmission_ratio,0,0.0,unanimous_incorrect,"[null, null, null]",16
