model_id,model_label,replicate,trial_origin,task_id,question_type,answer_type,submitted_answer,expected_answer,answer_score,error_category,original_exception,timeout,duration_seconds,total_input_tokens,output_tokens,provider_list_price_cost_usd,response_models,trial_dir
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model01_QA01,transmission_ratio,numeric,20,30,0.0,numeric_underestimate,none,False,602.351577,97861,31900,0.062706099,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model01-qa01__VK9WC6M
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model02_QA01,transmission_ratio,numeric,3,16,0.0,numeric_underestimate,none,False,88.761696,43982,3103,0.0066792474,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model02-qa01__peMMneQ
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model02_QA02,component_count,numeric,3,6,0.0,numeric_underestimate,none,False,41.94749,43971,694,0.0040231434,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model02-qa02__kXV5Xvm
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model02_QA03,component_count,numeric,12,5,0.0,numeric_overestimate,none,False,312.456397,43997,16801,0.021442448399999998,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model02-qa03__qTifurK
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model03_QA02,tooth_count,numeric,48,80,0.0,numeric_underestimate,none,False,50.977652,43976,1445,0.0048517194,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model03-qa02__kZhbQNN
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model03_QA03,tooth_count,numeric,12,20,0.0,numeric_underestimate,none,False,47.106659,44029,1200,0.004037826600000001,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model03-qa03__Cegyqvs
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model04_QA01,transmission_ratio,numeric,4,5,0.0,numeric_underestimate,none,False,149.64062,117721,6485,0.0138483858,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model04-qa01__56DL5z9
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model04_QA02,tooth_count,numeric,48,65,0.0,numeric_underestimate,none,False,53.164641,65375,1361,0.004822232400000001,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model04-qa02__TZwrPya
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model04_QA03,tooth_count,numeric,9,16,0.0,numeric_underestimate,none,False,47.338713,44032,1234,0.0040762956,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model04-qa03__mEcJQFN
qwen3.7-plus,Qwen 3.7 Plus,qwen-run-a,new,Model04_QA04,tooth_count,numeric,18,34,0.0,numeric_underestimate,none,False,50.39908,43974,1353,0.0041873046,"[""qwen3.7-plus""]",outputs/gear-crossmodel-3x-20260816-1727/jobs/qwen-run-a/gear-crossmodel-3x-20260816-1727-qwen-run-a/gear-base-model04-qa04__5oFyc5C
