model_id,model_label,question_type,attempted,correct,incorrect,accuracy_pct,error_rate_pct,timeouts,timeout_rate_pct,timeout_adjusted_accuracy_pct,provider_list_price_cost_usd
qwen3.7-plus,Qwen 3.7 Plus,axis_angle,3,3,0,100.0,0.0,0,0.0,100.0,0.0113559882
qwen3.7-plus,Qwen 3.7 Plus,component_count,24,11,13,45.833333333333336,54.166666666666664,0,0.0,45.833333333333336,0.1534345362
qwen3.7-plus,Qwen 3.7 Plus,gear_type,3,0,3,0.0,100.0,0,0.0,0.0,0.0323496246
qwen3.7-plus,Qwen 3.7 Plus,tooth_count,39,1,38,2.5641025641025643,97.43589743589743,4,10.256410256410257,2.857142857142857,0.6993097896
qwen3.7-plus,Qwen 3.7 Plus,transmission_ratio,30,7,23,23.333333333333332,76.66666666666667,0,0.0,23.333333333333332,0.30268825380000003
claude-opus-5,Claude Opus 5,axis_angle,3,3,0,100.0,0.0,0,0.0,100.0,0.15839525
claude-opus-5,Claude Opus 5,component_count,24,18,6,75.0,25.0,0,0.0,75.0,4.50764425
claude-opus-5,Claude Opus 5,gear_type,3,0,3,0.0,100.0,0,0.0,0.0,4.91919575
claude-opus-5,Claude Opus 5,tooth_count,39,26,13,66.66666666666667,33.333333333333336,1,2.5641025641025643,68.42105263157895,31.86920525
claude-opus-5,Claude Opus 5,transmission_ratio,30,16,14,53.333333333333336,46.666666666666664,13,43.333333333333336,94.11764705882354,43.94626275
claude-fable-5,Claude Fable 5,axis_angle,3,3,0,100.0,0.0,0,0.0,100.0,0.66621
claude-fable-5,Claude Fable 5,component_count,24,18,6,75.0,25.0,0,0.0,75.0,5.202584
claude-fable-5,Claude Fable 5,gear_type,3,0,3,0.0,100.0,0,0.0,0.0,0.6319895
claude-fable-5,Claude Fable 5,tooth_count,39,23,16,58.97435897435897,41.02564102564103,3,7.6923076923076925,63.888888888888886,61.415667
claude-fable-5,Claude Fable 5,transmission_ratio,30,15,15,50.0,50.0,12,40.0,83.33333333333333,72.0277565
