model_id,qa_id,package_id,gt_answer
Model02,QA01,Model02_01_Hidden,16
Model02,QA02,Model02_02_Hidden,6
Model02,QA03,Model02_03_Hidden,4
Model03,QA01,Model03_01_Hidden,6
Model03,QA02,Model03_02_Hidden,80
Model03,QA03,Model03_03_Hidden,20
Model03,QA04,Model03_04_Hidden,3
Model04,QA01,Model04_01_Hidden,5
Model04,QA02,Model04_02_Hidden,65
Model04,QA03,Model04_03_Hidden,16
Model04,QA04,Model04_04_Hidden,34
Model04,QA05,Model04_05_Hidden,3
Model06,QA01,Model06_01_Hidden,2
Model06,QA02,Model06_02_Hidden,25
Model06,QA03,Model06_03_Hidden,50
Model06,QA04,Model06_04_Hidden,2
Model07,QA01,Model07_01_Hidden,4
Model07,QA02,Model07_02_Hidden,3
Model07,QA03,Model07_03_Hidden,12
Model08,QA01,Model08_01_Hidden,29
Model08,QA02,Model08_02_Hidden,105
Model08,QA03,Model08_03_Hidden,3.6
Model08,QA04,Model08_04_Hidden,Helical
Model09,QA01,Model09_01_Hidden,17
Model09,QA02,Model09_02_Hidden,5.4
Model09,QA03,Model09_03_Hidden,75
Model09,QA04,Model09_04_Hidden,4
Model10,QA01,Model10_01_Hidden,32
