package_id,category,subtype,question,predicted_answer,correct_answer,direction,signed_error,absolute_error,absolute_percentage_error,diagnostic
Model01_QA01,Transmission ratio,Worm train ratio,what is the transmission ratio of this gear train? Assume the worm is a single-start.,10,30,Under,-20.0,20.0,66.66666666666667,The transmission ratio was underestimated by 20 (66.7% of the correct value).
Model02_QA01,Transmission ratio,Other train or gearbox ratio,what is the transmission ratio of the gear train?,1,16,Under,-15.0,15.0,93.75,The transmission ratio was underestimated by 15 (93.8% of the correct value).
Model02_QA02,Component count,Assembly inventory count,How many support brackets are there in this assembly?,3,6,Under,-3.0,3.0,50.0,The component count was underestimated by 3 (50.0% of the correct value).
Model03_QA01,Transmission ratio,Planetary ratio,"what is the transmission ratio of this planetary gear train? Assume the sun gear is the input, ring gear is fixed. And carrier is the output.",3,6,Under,-3.0,3.0,50.0,The transmission ratio was underestimated by 3 (50.0% of the correct value).
Model03_QA02,Gear tooth count,Ring gear teeth,What is the tooth number of the ring gear?,72,80,Under,-8.0,8.0,10.0,The tooth count was underestimated by 8 (10.0% of the correct value).
Model03_QA03,Gear tooth count,Sun gear teeth,What is tooth number of the sun gear?,24,20,Over,4.0,4.0,20.0,The tooth count was overestimated by 4 (20.0% of the correct value).
Model04_QA01,Transmission ratio,Planetary ratio,"what is the transmission ratio of this planetary gear? Assume sun input, ring fixed, carrier output. Round up to the nearest integer.",4,5,Under,-1.0,1.0,20.0,The transmission ratio was underestimated by 1 (20.0% of the correct value).
Model04_QA02,Gear tooth count,Ring gear teeth,What is the tooth number of the ring gear?,48,65,Under,-17.0,17.0,26.153846153846153,The tooth count was underestimated by 17 (26.2% of the correct value).
Model04_QA03,Gear tooth count,Sun gear teeth,What is tooth number of the sun gear?,24,16,Over,8.0,8.0,50.0,The tooth count was overestimated by 8 (50.0% of the correct value).
Model04_QA04,Gear tooth count,Planet gear teeth,What is the tooth number of planet gear?,24,34,Under,-10.0,10.0,29.41176470588235,The tooth count was underestimated by 10 (29.4% of the correct value).
Model05_QA01,Gear tooth count,Smaller gear teeth,What is the tooth number of the smaller gear?,12,20,Under,-8.0,8.0,40.0,The tooth count was underestimated by 8 (40.0% of the correct value).
Model05_QA02,Gear tooth count,Larger gear teeth,What the tooth number of the larger gear.,60,93,Under,-33.0,33.0,35.483870967741936,The tooth count was underestimated by 33 (35.5% of the correct value).
Model05_QA03,Transmission ratio,Other train or gearbox ratio,what is the transmission ratio of this gear train?,5,4.65,Over,0.34999999999999964,0.34999999999999964,7.526881720430099,The transmission ratio was overestimated by 0.35 (7.5% of the correct value).
Model06_QA01,Component count,Assembly inventory count,How many bearings are there is in this gearbox?,4,2,Over,2.0,2.0,100.0,The component count was overestimated by 2 (100.0% of the correct value).
Model06_QA02,Gear tooth count,Smaller gear teeth,What the tooth number of the smaller gear?,12,25,Under,-13.0,13.0,52.0,The tooth count was underestimated by 13 (52.0% of the correct value).
Model06_QA03,Gear tooth count,Larger gear teeth,What is the tooth number of the larger gear?,24,50,Under,-26.0,26.0,52.0,The tooth count was underestimated by 26 (52.0% of the correct value).
Model06_QA04,Transmission ratio,Other train or gearbox ratio,What is the transmission ratio of this gear box?,3,2,Over,1.0,1.0,50.0,The transmission ratio was overestimated by 1 (50.0% of the correct value).
Model07_QA01,Component count,Assembly inventory count,How many gears are there in this gear box?,3,4,Under,-1.0,1.0,25.0,The component count was underestimated by 1 (25.0% of the correct value).
Model07_QA02,Component count,Assembly inventory count,How many shafts are there in this gear box?,2,3,Under,-1.0,1.0,33.333333333333336,The component count was underestimated by 1 (33.3% of the correct value).
Model07_QA03,Transmission ratio,Other train or gearbox ratio,What is the transmission ratio of this gear train?,1,12,Under,-11.0,11.0,91.66666666666667,The transmission ratio was underestimated by 11 (91.7% of the correct value).
Model08_QA01,Gear tooth count,Smaller gear teeth,what the tooth number of the smaller gear?,12,29,Under,-17.0,17.0,58.62068965517241,The tooth count was underestimated by 17 (58.6% of the correct value).
Model08_QA02,Gear tooth count,Larger gear teeth,what the tooth number of the larger gear?,24,105,Under,-81.0,81.0,77.14285714285714,The tooth count was underestimated by 81 (77.1% of the correct value).
Model08_QA03,Transmission ratio,Other train or gearbox ratio,What the transmission ratio of this gear box? Round to the first decimal place.,2.0,3.6,Under,-1.6,1.6,44.44444444444444,The transmission ratio was underestimated by 1.6 (44.4% of the correct value).
Model08_QA04,Gear type,Gear-shape classification,"What is the type of the gear shape? Spur, Helical, Bevel or Double Helical or others.",Bevel,Helical,Categorical,,,,Classified as Bevel instead of Helical.
Model09_QA01,Gear tooth count,Sun gear teeth,What is the tooth number of the sun gear?,24,17,Over,7.0,7.0,41.1764705882353,The tooth count was overestimated by 7 (41.2% of the correct value).
Model09_QA02,Transmission ratio,Other train or gearbox ratio,What is the transmission ratio of the gear box? Round to the first decimal place.,3.0,5.4,Under,-2.4000000000000004,2.4000000000000004,44.44444444444445,The transmission ratio was underestimated by 2.4 (44.4% of the correct value).
Model09_QA03,Gear tooth count,Ring gear teeth,What is the tooth number of the ring gear?,72,75,Under,-3.0,3.0,4.0,The tooth count was underestimated by 3 (4.0% of the correct value).
Model10_QA01,Transmission ratio,Other train or gearbox ratio,what is the transmission ratio of this gear train?,10,32,Under,-22.0,22.0,68.75,The transmission ratio was underestimated by 22 (68.8% of the correct value).
