"model_id","qa_id","gt_answer"
"Model01","QA01","30"
"Model01","QA02","90"
"Model02","QA01","16"
"Model02","QA02","6"
"Model02","QA03","5"
"Model03","QA01","6"
"Model03","QA02","80"
"Model03","QA03","20"
"Model03","QA04","3"
"Model04","QA01","5"
"Model04","QA02","65"
"Model04","QA03","16"
"Model04","QA04","34"
"Model04","QA05","3"
"Model05","QA01","20"
"Model05","QA02","93"
"Model05","QA03","4.65"
"Model06","QA01","2"
"Model06","QA02","25"
"Model06","QA03","50"
"Model06","QA04","2"
"Model07","QA01","4"
"Model07","QA02","3"
"Model07","QA03","12"
"Model08","QA01","29"
"Model08","QA02","105"
"Model08","QA03","3.6"
"Model08","QA04","Helical"
"Model09","QA01","17"
"Model09","QA02","5.4"
"Model09","QA03","75"
"Model09","QA04","4"
"Model10","QA01","32"
